63, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
76, 77, 0, 0, 0, 0, 0, 0, 45, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
89, 90, 54, 67, 52, 52, 68, 55, 58, 59, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 63, 64, 0, 0, 0, 0, 0, 0, 0, 0, 45, 46, 0, 0, 0,
9, 11, 12, 80, 92, 92, 81, 7, 8, 11, 12, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 76, 77, 0, 0, 0, 0, 0, 0, 93, 93, 58, 59, 93, 0, 0,
36, 37, 0, 0, 0, 0, 0, 0, 34, 49, 0, 0, 0, 93, 0, 0, 0, 0, 0, 93, 93, 61, 93, 95, 88, 89, 90, 94, 93, 93, 0, 0, 47, 1, 2, 3, 3, 5, 6, 44,
37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 25, 44, 45, 46, 0, 47, 7, 8, 9, 9, 9, 9, 9, 9, 9, 11, 12, 44, 0, 0, 0, 15, 16, 16, 18, 0, 0,
0, 0, 62, 63, 64, 0, 0, 0, 93, 0, 0, 0, 0, 38, 93, 58, 59, 0, 0, 0, 21, 22, 22, 22, 22, 22, 22, 22, 24, 0, 0, 0, 0, 0, 15, 16, 16, 18, 0, 0,
0, 0, 75, 76, 77, 0, 0, 47, 25, 44, 0, 47, 1, 2, 4, 5, 6, 44, 0, 0, 21, 22, 22, 22, 22, 22, 22, 22, 24, 19, 19, 19, 19, 19, 15, 16, 16, 18, 19, 19,
0, 0, 88, 89, 90, 95, 93, 96, 38, 93, 0, 0, 0, 15, 16, 18, 0, 0, 0, 0, 21, 22, 22, 22, 22, 22, 22, 22, 24, 33, 33, 33, 32, 33, 15, 16, 16, 18, 32, 33,
3, 4, 3, 3, 4, 4, 3, 3, 5, 6, 44, 0, 0, 15, 16, 18, 0, 0, 0, 0, 21, 22, 22, 22, 22, 22, 22, 22, 24, 33, 32, 33, 33, 33, 15, 16, 16, 18, 33, 33,
16, 16, 16, 16, 16, 17, 16, 17, 18, 19, 20, 19, 19, 15, 16, 18, 20, 20, 20, 20, 21, 22, 22, 22, 22, 22, 22, 22, 24, 33, 33, 33, 32, 33, 15, 16, 16, 18, 33, 33,
